confidence_1	humanaccuracy_1	humanaccuracy_comparison_1	confidence_2	humanaccuracy_2	humanaccuracy_comparison_2	trust_2	use_likelihood_2	use_binary_2	confidence_3	humanaccuracy_3	humanaccuracy_comparison_3	trust_3	use_likelihood_3	use_binary_3	id
Somewhat confident	8/14	approximately equal to the median accuracy (41-60%)	Moderately confident	16/25	approximately equal to the median accuracy (41-60%)	Yes	4/13	2/13	Moderately confident	18/25	approximately equal to the median accuracy (41-60%)	Yes	9/25	4/25	124
Slightly confident	7/14	approximately equal to the median accuracy (41-60%)	Slightly confident	5/13	lower than most accuracies (21-40%)	Yes	13/13	5/13	Slightly confident	10/25	approximately equal to the median accuracy (41-60%)	Yes	25/25	4/25	125
Moderately confident	7/14	approximately equal to the median accuracy (41-60%)	Moderately confident	11/14	higher than most accuracies (61-80%)	Yes	4/14	7/14	Moderately confident	21/25	higher than most accuracies (61-80%)	Yes	4/25	4/25	126
Somewhat confident	8/14	approximately equal to the median accuracy (41-60%)	Somewhat confident	8/13	approximately equal to the median accuracy (41-60%)	Yes	8/13	11/13	Somewhat confident	9/25	approximately equal to the median accuracy (41-60%)	Yes	21/25	20/25	127
Slightly confident	6/14	approximately equal to the median accuracy (41-60%)	Somewhat confident	9/14	approximately equal to the median accuracy (41-60%)	Yes	13/14	3/14	Slightly confident	16/25	approximately equal to the median accuracy (41-60%)	Yes	24/25	5/25	128
Extremely confident	13/14	among the highest accuracies (80-100%)	Extremely confident	10/13	among the highest accuracies (80-100%)	Yes	8/13	10/13	Extremely confident	24/25	among the highest accuracies (80-100%)	Yes	22/25	10/25	129
Slightly confident	13/14	lower than most accuracies (21-40%)	Somewhat confident	12/13	approximately equal to the median accuracy (41-60%)	Yes	7/13	9/13	Somewhat confident	25/25	approximately equal to the median accuracy (41-60%)	Yes	10/25	25/25	130
Moderately confident	10/14	lower than most accuracies (21-40%)	Moderately confident	7/13	higher than most accuracies (61-80%)	Yes	8/13	8/13	Moderately confident	20/25	among the highest accuracies (80-100%)	Yes	20/25	20/25	131
Slightly confident	5/14	approximately equal to the median accuracy (41-60%)	Moderately confident	8/13	approximately equal to the median accuracy (41-60%)	Yes	12/13	3/13	Moderately confident	16/25	approximately equal to the median accuracy (41-60%)	Yes	22/25	4/25	132
Moderately confident	7/14	approximately equal to the median accuracy (41-60%)	Extremely confident	9/13	approximately equal to the median accuracy (41-60%)	No	8/13	10/13	Moderately confident	10/25	approximately equal to the median accuracy (41-60%)	No	9/25	10/25	133
Somewhat confident	11/14	approximately equal to the median accuracy (41-60%)	Somewhat confident	11/14	higher than most accuracies (61-80%)	Yes	5/14	3/14	Somewhat confident	19/25	higher than most accuracies (61-80%)	Yes	9/25	6/25	134
Extremely confident	6/14	higher than most accuracies (61-80%)	Moderately confident	7/13	higher than most accuracies (61-80%)	Yes	6/13	6/13	Extremely confident	15/25	higher than most accuracies (61-80%)	Yes	13/25	13/25	135
Moderately confident	8/14	approximately equal to the median accuracy (41-60%)	Extremely confident	7/13	among the highest accuracies (80-100%)	Yes	13/13	2/13	Extremely confident	17/25	higher than most accuracies (61-80%)	Yes	8/25	9/25	136
Slightly confident	9/14	approximately equal to the median accuracy (41-60%)	Somewhat confident	18/25	approximately equal to the median accuracy (41-60%)	Yes	3/13	1/13	Somewhat confident	16/25	approximately equal to the median accuracy (41-60%)	Yes	5/25	3/25	137
Moderately confident	9/14	approximately equal to the median accuracy (41-60%)	Moderately confident	10/13	approximately equal to the median accuracy (41-60%)	Yes	8/13	3/13	Moderately confident	16/25	approximately equal to the median accuracy (41-60%)	Yes	4/25	5/25	138
Slightly confident	8/14	approximately equal to the median accuracy (41-60%)	Slightly confident	5/13	approximately equal to the median accuracy (41-60%)	Yes	4/13	4/13	Slightly confident	9/25	approximately equal to the median accuracy (41-60%)	Yes	8/25	8/25	139
Extremely confident	11/14	among the highest accuracies (80-100%)	Extremely confident	11/13	higher than most accuracies (61-80%)	No	11/13	11/13	Extremely confident	23/25	among the highest accuracies (80-100%)	Yes	10/25	10/25	140
Moderately confident	11/14	higher than most accuracies (61-80%)	Somewhat confident	8/13	approximately equal to the median accuracy (41-60%)	Yes	5/13	0/13	Somewhat confident	17/25	approximately equal to the median accuracy (41-60%)	Yes	8/25	0/25	141
Moderately confident	9/14	higher than most accuracies (61-80%)	Moderately confident	18/25	higher than most accuracies (61-80%)	Yes	4/13	5/13	Moderately confident	19/25	higher than most accuracies (61-80%)	Yes	2/25	3/25	142
Somewhat confident	6/14	approximately equal to the median accuracy (41-60%)	Moderately confident	9/25	approximately equal to the median accuracy (41-60%)	Yes	7/13	8/13	Moderately confident	11/25	approximately equal to the median accuracy (41-60%)	Yes	11/25	9/25	143
Slightly confident	5/14	approximately equal to the median accuracy (41-60%)	Slightly confident	5/14	approximately equal to the median accuracy (41-60%)	Yes	13/14	0/14	Somewhat confident	8/25	approximately equal to the median accuracy (41-60%)	Yes	23/25	3/25	144
Moderately confident	9/14	higher than most accuracies (61-80%)	Moderately confident	8/13	higher than most accuracies (61-80%)	Yes	8/13	9/13	Moderately confident	12/25	higher than most accuracies (61-80%)	Yes	14/25	12/25	145
Somewhat confident	9/14	approximately equal to the median accuracy (41-60%)	Somewhat confident	9/13	approximately equal to the median accuracy (41-60%)	Yes	5/13	2/13	Somewhat confident	14/25	approximately equal to the median accuracy (41-60%)	Yes	12/25	0/25	146
Moderately confident	13/14	higher than most accuracies (61-80%)	Somewhat confident	11/13	higher than most accuracies (61-80%)	No	10/13	0/13	Moderately confident	20/25	approximately equal to the median accuracy (41-60%)	No	22/25	1/25	147
Moderately confident	9/14	approximately equal to the median accuracy (41-60%)	Extremely confident	10/13	higher than most accuracies (61-80%)	Yes	7/13	6/13	Moderately confident	19/25	higher than most accuracies (61-80%)	Yes	11/25	12/25	148
Somewhat confident	11/14	approximately equal to the median accuracy (41-60%)	Somewhat confident	10/14	approximately equal to the median accuracy (41-60%)	No	12/14	3/14	Slightly confident	18/25	approximately equal to the median accuracy (41-60%)	No	20/25	5/25	149
Somewhat confident	8/14	approximately equal to the median accuracy (41-60%)	Slightly confident	7/13	approximately equal to the median accuracy (41-60%)	No	3/13	0/13	Somewhat confident	15/25	approximately equal to the median accuracy (41-60%)	No	8/25	3/25	150
Moderately confident	10/14	higher than most accuracies (61-80%)	Moderately confident	9/13	higher than most accuracies (61-80%)	No	2/13	0/13	Moderately confident	17/25	higher than most accuracies (61-80%)	No	4/25	1/25	151
Somewhat confident	9/14	higher than most accuracies (61-80%)	Moderately confident	10/13	higher than most accuracies (61-80%)	Yes	5/13	5/13	Moderately confident	20/25	higher than most accuracies (61-80%)	Yes	10/25	10/25	152
Moderately confident	11/14	higher than most accuracies (61-80%)	Moderately confident	12/14	higher than most accuracies (61-80%)	Yes	3/14	0/14	Moderately confident	21/25	higher than most accuracies (61-80%)	Yes	3/25	3/25	153
Moderately confident	9/14	higher than most accuracies (61-80%)	Moderately confident	10/13	higher than most accuracies (61-80%)	Yes	6/13	6/13	Moderately confident	21/25	among the highest accuracies (80-100%)	Yes	19/25	19/25	154
Extremely confident	12/14	among the highest accuracies (80-100%)	Extremely confident	12/13	among the highest accuracies (80-100%)	Yes	2/13	0/13	Extremely confident	21/25	among the highest accuracies (80-100%)	Yes	2/25	0/25	155
Somewhat confident	8/14	lower than most accuracies (21-40%)	Somewhat confident	9/13	higher than most accuracies (61-80%)	Yes	8/13	10/13	Somewhat confident	23/25	approximately equal to the median accuracy (41-60%)	Yes	11/25	13/25	156
Somewhat confident	6/14	approximately equal to the median accuracy (41-60%)	Somewhat confident	7/14	approximately equal to the median accuracy (41-60%)	Yes	6/14	4/14	Somewhat confident	12/25	approximately equal to the median accuracy (41-60%)	Yes	8/25	11/25	157
Moderately confident	10/14	approximately equal to the median accuracy (41-60%)	Moderately confident	10/14	approximately equal to the median accuracy (41-60%)	Yes	2/14	0/14	Moderately confident	20/25	approximately equal to the median accuracy (41-60%)	Yes	2/25	0/25	158
Extremely confident	12/14	higher than most accuracies (61-80%)	Extremely confident	21/25	higher than most accuracies (61-80%)	Yes	4/13	0/13	Moderately confident	20/25	higher than most accuracies (61-80%)	Yes	21/25	22/25	159
Somewhat confident	5/14	lower than most accuracies (21-40%)	Somewhat confident	7/14	approximately equal to the median accuracy (41-60%)	Yes	11/14	2/14	Somewhat confident	17/25	approximately equal to the median accuracy (41-60%)	Yes	23/25	2/25	160
Somewhat confident	8/14	approximately equal to the median accuracy (41-60%)	Slightly confident	6/14	lower than most accuracies (21-40%)	Yes	13/14	13/14	Moderately confident	20/25	approximately equal to the median accuracy (41-60%)	Yes	25/25	19/25	161
Moderately confident	10/15	higher than most accuracies (61-80%)	Somewhat confident	8/15	approximately equal to the median accuracy (41-60%)	Yes	3/15	2/15	Somewhat confident	16/25	approximately equal to the median accuracy (41-60%)	Yes	6/25	4/25	162
Moderately confident	9/14	higher than most accuracies (61-80%)	Extremely confident	10/13	higher than most accuracies (61-80%)	Yes	12/13	10/13	Moderately confident	22/25	higher than most accuracies (61-80%)	Yes	20/25	21/25	163
Moderately confident	8/14	higher than most accuracies (61-80%)	Moderately confident	9/14	higher than most accuracies (61-80%)	Yes	7/14	3/14	Moderately confident	19/25	higher than most accuracies (61-80%)	Yes	23/25	3/25	164
Moderately confident	10/14	approximately equal to the median accuracy (41-60%)	Moderately confident	10/13	approximately equal to the median accuracy (41-60%)	Yes	3/13	10/13	Extremely confident	19/25	approximately equal to the median accuracy (41-60%)	Yes	6/25	5/25	165
Moderately confident	9/14	among the highest accuracies (80-100%)	Extremely confident	10/14	among the highest accuracies (80-100%)	Yes	10/14	4/14	Extremely confident	18/25	higher than most accuracies (61-80%)	Yes	18/25	20/25	166
Slightly confident	9/14	approximately equal to the median accuracy (41-60%)	Slightly confident	12/25	approximately equal to the median accuracy (41-60%)	No	4/13	3/13	Slightly confident	8/25	lower than most accuracies (21-40%)	Yes	5/25	5/25	167
Somewhat confident	7/14	approximately equal to the median accuracy (41-60%)	Somewhat confident	6/14	approximately equal to the median accuracy (41-60%)	Yes	4/14	5/14	Somewhat confident	13/25	approximately equal to the median accuracy (41-60%)	Yes	11/25	11/25	168
Extremely confident	10/15	higher than most accuracies (61-80%)	Extremely confident	11/15	higher than most accuracies (61-80%)	Yes	11/15	11/15	Extremely confident	24/25	among the highest accuracies (80-100%)	Yes	24/25	24/25	169
Not confident at all	4/14	approximately equal to the median accuracy (41-60%)	Not confident at all	3/13	approximately equal to the median accuracy (41-60%)	Yes	8/13	0/13	Not confident at all	10/25	approximately equal to the median accuracy (41-60%)	Yes	10/25	0/25	170
Moderately confident	9/14	approximately equal to the median accuracy (41-60%)	Somewhat confident	8/13	approximately equal to the median accuracy (41-60%)	Yes	13/13	2/13	Moderately confident	17/25	approximately equal to the median accuracy (41-60%)	Yes	25/25	4/25	171
Somewhat confident	8/14	approximately equal to the median accuracy (41-60%)	Slightly confident	7/13	approximately equal to the median accuracy (41-60%)	Yes	12/13	5/13	Slightly confident	14/25	approximately equal to the median accuracy (41-60%)	Yes	17/25	5/25	172
Moderately confident	9/14	approximately equal to the median accuracy (41-60%)	Moderately confident	10/14	approximately equal to the median accuracy (41-60%)	Yes	9/14	9/14	Moderately confident	20/25	approximately equal to the median accuracy (41-60%)	Yes	20/25	20/25	173
Moderately confident	11/14	higher than most accuracies (61-80%)	Somewhat confident	7/14	approximately equal to the median accuracy (41-60%)	No	4/14	4/14	Somewhat confident	4/25	approximately equal to the median accuracy (41-60%)	No	4/25	4/25	174
Moderately confident	8/14	higher than most accuracies (61-80%)	Moderately confident	10/14	approximately equal to the median accuracy (41-60%)	No	0/14	0/14	Extremely confident	16/25	higher than most accuracies (61-80%)	No	0/25	0/25	175
Not confident at all	5/14	lower than most accuracies (21-40%)	Not confident at all	5/13	lower than most accuracies (21-40%)	No	4/13	2/13	Not confident at all	10/25	lower than most accuracies (21-40%)	No	3/25	2/25	176
Extremely confident	7/14	lower than most accuracies (21-40%)	Extremely confident	12/14	higher than most accuracies (61-80%)	Yes	10/14	10/14	Extremely confident	22/25	among the highest accuracies (80-100%)	Yes	23/25	23/25	177
Somewhat confident	9/14	approximately equal to the median accuracy (41-60%)	Somewhat confident	8/14	approximately equal to the median accuracy (41-60%)	Yes	8/14	8/14	Somewhat confident	19/25	approximately equal to the median accuracy (41-60%)	Yes	20/25	20/25	178
Extremely confident	10/14	approximately equal to the median accuracy (41-60%)	Extremely confident	12/13	approximately equal to the median accuracy (41-60%)	Yes	11/13	9/13	Moderately confident	13/25	among the highest accuracies (80-100%)	Yes	14/25	11/25	179
Slightly confident	9/14	approximately equal to the median accuracy (41-60%)	Somewhat confident	8/13	approximately equal to the median accuracy (41-60%)	Yes	9/13	8/13	Moderately confident	14/25	approximately equal to the median accuracy (41-60%)	Yes	16/25	7/25	180
Moderately confident	10/14	higher than most accuracies (61-80%)	Moderately confident	19/25	higher than most accuracies (61-80%)	Yes	10/13	0/13	Moderately confident	20/25	higher than most accuracies (61-80%)	Yes	0/25	0/25	181
Slightly confident	6/14	approximately equal to the median accuracy (41-60%)	Slightly confident	7/14	approximately equal to the median accuracy (41-60%)	Yes	1/14	1/14	Slightly confident	13/25	approximately equal to the median accuracy (41-60%)	Yes	2/25	2/25	182
Somewhat confident	7/14	approximately equal to the median accuracy (41-60%)	Somewhat confident	7/14	approximately equal to the median accuracy (41-60%)	Yes	9/14	7/14	Somewhat confident	15/25	approximately equal to the median accuracy (41-60%)	Yes	15/25	15/25	183
Extremely confident	14/14	higher than most accuracies (61-80%)	Extremely confident	9/13	higher than most accuracies (61-80%)	No	0/13	0/13	Extremely confident	13/25	approximately equal to the median accuracy (41-60%)	No	0/25	0/25	184
Extremely confident	9/14	lower than most accuracies (21-40%)	Extremely confident	6/13	among the highest accuracies (80-100%)	Yes	8/13	8/13	Extremely confident	23/25	among the highest accuracies (80-100%)	Yes	21/25	10/25	185
Moderately confident	6/14	approximately equal to the median accuracy (41-60%)	Moderately confident	7/13	approximately equal to the median accuracy (41-60%)	Yes	5/13	0/13	Moderately confident	15/25	higher than most accuracies (61-80%)	Yes	15/25	15/25	186
Somewhat confident	9/14	approximately equal to the median accuracy (41-60%)	Moderately confident	10/13	approximately equal to the median accuracy (41-60%)	Yes	12/13	2/13	Moderately confident	19/25	higher than most accuracies (61-80%)	Yes	23/25	1/25	187
Moderately confident	8/14	higher than most accuracies (61-80%)	Moderately confident	8/13	among the highest accuracies (80-100%)	Yes	9/13	9/13	Moderately confident	11/25	lower than most accuracies (21-40%)	Yes	15/25	12/25	188
Somewhat confident	7/14	approximately equal to the median accuracy (41-60%)	Somewhat confident	4/13	lower than most accuracies (21-40%)	Yes	4/13	4/13	Somewhat confident	5/25	approximately equal to the median accuracy (41-60%)	Yes	5/25	4/25	189
Somewhat confident	6/14	higher than most accuracies (61-80%)	Moderately confident	8/13	approximately equal to the median accuracy (41-60%)	Yes	9/13	4/13	Somewhat confident	22/25	lower than most accuracies (21-40%)	Yes	9/25	25/25	190
Extremely confident	11/14	higher than most accuracies (61-80%)	Extremely confident	11/14	among the highest accuracies (80-100%)	Yes	12/14	13/14	Extremely confident	23/25	among the highest accuracies (80-100%)	Yes	13/25	21/25	191
Somewhat confident	9/14	approximately equal to the median accuracy (41-60%)	Somewhat confident	10/14	approximately equal to the median accuracy (41-60%)	No	10/14	0/14	Somewhat confident	17/25	approximately equal to the median accuracy (41-60%)	No	15/25	1/25	192
Slightly confident	4/14	lower than most accuracies (21-40%)	Slightly confident	4/14	lower than most accuracies (21-40%)	Yes	7/14	7/14	Slightly confident	14/25	lower than most accuracies (21-40%)	Yes	15/25	15/25	193
Moderately confident	11/14	approximately equal to the median accuracy (41-60%)	Moderately confident	12/14	approximately equal to the median accuracy (41-60%)	Yes	6/14	0/14	Moderately confident	20/25	approximately equal to the median accuracy (41-60%)	Yes	11/25	1/25	194
Somewhat confident	7/14	approximately equal to the median accuracy (41-60%)	Somewhat confident	7/13	lower than most accuracies (21-40%)	Yes	3/13	3/13	Somewhat confident	12/25	approximately equal to the median accuracy (41-60%)	Yes	2/25	2/25	195
Extremely confident	10/14	higher than most accuracies (61-80%)	Extremely confident	11/14	among the highest accuracies (80-100%)	Yes	4/14	0/14	Moderately confident	20/25	among the highest accuracies (80-100%)	Yes	10/25	0/25	196
Somewhat confident	9/14	approximately equal to the median accuracy (41-60%)	Somewhat confident	7/13	approximately equal to the median accuracy (41-60%)	No	4/13	2/13	Somewhat confident	10/25	approximately equal to the median accuracy (41-60%)	No	10/25	7/25	197
Moderately confident	11/14	higher than most accuracies (61-80%)	Moderately confident	10/13	higher than most accuracies (61-80%)	Yes	11/13	11/13	Moderately confident	23/25	higher than most accuracies (61-80%)	Yes	22/25	22/25	198
Moderately confident	9/14	higher than most accuracies (61-80%)	Somewhat confident	8/13	approximately equal to the median accuracy (41-60%)	Yes	11/13	5/13	Moderately confident	20/25	higher than most accuracies (61-80%)	Yes	5/25	10/25	199
Moderately confident	7/14	approximately equal to the median accuracy (41-60%)	Moderately confident	10/13	approximately equal to the median accuracy (41-60%)	Yes	0/13	0/13	Moderately confident	11/25	approximately equal to the median accuracy (41-60%)	Yes	0/25	0/25	200
Extremely confident	7/14	approximately equal to the median accuracy (41-60%)	Moderately confident	10/13	approximately equal to the median accuracy (41-60%)	No	12/13	13/13	Extremely confident	25/25	higher than most accuracies (61-80%)	Yes	13/25	24/25	201
Somewhat confident	9/14	approximately equal to the median accuracy (41-60%)	Slightly confident	10/13	among the highest accuracies (80-100%)	Yes	9/13	10/13	Somewhat confident	22/25	approximately equal to the median accuracy (41-60%)	No	23/25	23/25	202
Moderately confident	10/14	higher than most accuracies (61-80%)	Somewhat confident	9/14	approximately equal to the median accuracy (41-60%)	Yes	0/14	0/14	Somewhat confident	13/25	approximately equal to the median accuracy (41-60%)	Yes	0/25	0/25	203
Moderately confident	7/14	approximately equal to the median accuracy (41-60%)	Moderately confident	9/13	higher than most accuracies (61-80%)	No	8/13	8/13	Somewhat confident	16/25	approximately equal to the median accuracy (41-60%)	No	15/25	14/25	204
Moderately confident	12/14	higher than most accuracies (61-80%)	Extremely confident	11/13	higher than most accuracies (61-80%)	Yes	12/13	12/13	Extremely confident	24/25	higher than most accuracies (61-80%)	Yes	22/25	22/25	205
Slightly confident	7/14	approximately equal to the median accuracy (41-60%)	Somewhat confident	7/14	approximately equal to the median accuracy (41-60%)	Yes	8/14	8/14	Somewhat confident	12/25	approximately equal to the median accuracy (41-60%)	Yes	12/25	14/25	206
Moderately confident	8/14	approximately equal to the median accuracy (41-60%)	Moderately confident	10/13	higher than most accuracies (61-80%)	Yes	2/13	1/13	Moderately confident	18/25	approximately equal to the median accuracy (41-60%)	Yes	1/25	2/25	207
Slightly confident	10/14	approximately equal to the median accuracy (41-60%)	Somewhat confident	10/13	higher than most accuracies (61-80%)	Yes	9/13	0/13	Somewhat confident	19/25	higher than most accuracies (61-80%)	Yes	17/25	0/25	208
Somewhat confident	7/14	approximately equal to the median accuracy (41-60%)	Somewhat confident	7/14	approximately equal to the median accuracy (41-60%)	Yes	2/14	2/14	Somewhat confident	13/25	approximately equal to the median accuracy (41-60%)	Yes	3/25	2/25	209
Not confident at all	6/14	among the lowest accuracies (0-20%)	Slightly confident	7/13	lower than most accuracies (21-40%)	No	5/13	3/13	Slightly confident	13/25	lower than most accuracies (21-40%)	No	7/25	6/25	210
Slightly confident	7/14	lower than most accuracies (21-40%)	Somewhat confident	10/14	approximately equal to the median accuracy (41-60%)	Yes	12/14	1/14	Somewhat confident	15/25	approximately equal to the median accuracy (41-60%)	Yes	13/25	0/25	211
Somewhat confident	10/14	approximately equal to the median accuracy (41-60%)	Somewhat confident	9/13	among the highest accuracies (80-100%)	Yes	8/13	8/13	Somewhat confident	11/25	among the highest accuracies (80-100%)	Yes	12/25	11/25	212
Somewhat confident	7/14	approximately equal to the median accuracy (41-60%)	Somewhat confident	9/14	higher than most accuracies (61-80%)	Yes	2/14	2/14	Moderately confident	14/25	higher than most accuracies (61-80%)	Yes	5/25	5/25	213
Somewhat confident	9/14	approximately equal to the median accuracy (41-60%)	Somewhat confident	16/25	approximately equal to the median accuracy (41-60%)	No	2/13	3/13	Somewhat confident	20/25	approximately equal to the median accuracy (41-60%)	No	0/25	2/25	214
Moderately confident	10/14	higher than most accuracies (61-80%)	Moderately confident	11/13	higher than most accuracies (61-80%)	Yes	7/13	2/13	Moderately confident	20/25	higher than most accuracies (61-80%)	Yes	11/25	4/25	215
Slightly confident	8/14	approximately equal to the median accuracy (41-60%)	Slightly confident	7/14	approximately equal to the median accuracy (41-60%)	No	0/14	0/14	Slightly confident	13/25	approximately equal to the median accuracy (41-60%)	No	0/25	0/25	216
Not confident at all	4/14	lower than most accuracies (21-40%)	Not confident at all	3/14	among the lowest accuracies (0-20%)	No	13/14	1/14	Not confident at all	8/25	lower than most accuracies (21-40%)	No	17/25	1/25	217
Somewhat confident	6/14	approximately equal to the median accuracy (41-60%)	Moderately confident	7/13	approximately equal to the median accuracy (41-60%)	Yes	5/13	2/13	Moderately confident	17/25	approximately equal to the median accuracy (41-60%)	Yes	12/25	5/25	218
Moderately confident	12/15	higher than most accuracies (61-80%)	Moderately confident	11/15	higher than most accuracies (61-80%)	Yes	7/15	2/15	Moderately confident	18/25	higher than most accuracies (61-80%)	Yes	10/25	5/25	219
Moderately confident	11/14	higher than most accuracies (61-80%)	Somewhat confident	8/13	approximately equal to the median accuracy (41-60%)	No	0/13	0/13	Somewhat confident	15/25	approximately equal to the median accuracy (41-60%)	No	0/25	0/25	220
Slightly confident	4/14	lower than most accuracies (21-40%)	Somewhat confident	6/14	approximately equal to the median accuracy (41-60%)	Yes	6/14	6/14	Somewhat confident	10/25	approximately equal to the median accuracy (41-60%)	Yes	10/25	10/25	221
Somewhat confident	9/14	approximately equal to the median accuracy (41-60%)	Somewhat confident	8/14	higher than most accuracies (61-80%)	Yes	4/14	2/14	Moderately confident	17/25	approximately equal to the median accuracy (41-60%)	Yes	12/25	1/25	222
Slightly confident	6/14	approximately equal to the median accuracy (41-60%)	Somewhat confident	9/14	approximately equal to the median accuracy (41-60%)	Yes	3/14	2/14	Somewhat confident	15/25	approximately equal to the median accuracy (41-60%)	Yes	5/25	3/25	223
Moderately confident	5/14	approximately equal to the median accuracy (41-60%)	Somewhat confident	4/13	approximately equal to the median accuracy (41-60%)	Yes	6/13	5/13	Somewhat confident	9/25	higher than most accuracies (61-80%)	No	6/25	5/25	224
Extremely confident	11/14	higher than most accuracies (61-80%)	Moderately confident	11/13	higher than most accuracies (61-80%)	Yes	11/13	11/13	Moderately confident	12/25	higher than most accuracies (61-80%)	Yes	12/25	11/25	225
Moderately confident	10/14	approximately equal to the median accuracy (41-60%)	Moderately confident	9/14	approximately equal to the median accuracy (41-60%)	Yes	0/14	0/14	Moderately confident	17/25	approximately equal to the median accuracy (41-60%)	Yes	0/25	0/25	226
Somewhat confident	9/14	approximately equal to the median accuracy (41-60%)	Somewhat confident	8/14	approximately equal to the median accuracy (41-60%)	No	0/14	0/14	Somewhat confident	15/25	approximately equal to the median accuracy (41-60%)	No	0/25	0/25	227
Moderately confident	7/14	approximately equal to the median accuracy (41-60%)	Somewhat confident	7/13	approximately equal to the median accuracy (41-60%)	Yes	6/13	6/13	Moderately confident	24/25	higher than most accuracies (61-80%)	Yes	23/25	24/25	228
Moderately confident	10/14	higher than most accuracies (61-80%)	Moderately confident	10/13	higher than most accuracies (61-80%)	Yes	6/13	5/13	Moderately confident	20/25	higher than most accuracies (61-80%)	Yes	18/25	10/25	229
Slightly confident	7/14	approximately equal to the median accuracy (41-60%)	Somewhat confident	8/13	approximately equal to the median accuracy (41-60%)	Yes	0/13	0/13	Moderately confident	16/25	higher than most accuracies (61-80%)	Yes	0/25	0/25	230
Extremely confident	12/14	higher than most accuracies (61-80%)	Moderately confident	15/25	lower than most accuracies (21-40%)	Yes	10/13	12/13	Extremely confident	24/25	lower than most accuracies (21-40%)	Yes	10/25	20/25	231
Not confident at all	5/14	approximately equal to the median accuracy (41-60%)	Slightly confident	7/14	approximately equal to the median accuracy (41-60%)	Yes	12/14	9/14	Slightly confident	15/25	approximately equal to the median accuracy (41-60%)	Yes	23/25	19/25	232
Moderately confident	10/14	higher than most accuracies (61-80%)	Moderately confident	10/13	higher than most accuracies (61-80%)	No	0/13	0/13	Moderately confident	21/25	higher than most accuracies (61-80%)	Yes	0/25	0/25	233
Moderately confident	9/14	approximately equal to the median accuracy (41-60%)	Slightly confident	4/14	lower than most accuracies (21-40%)	No	3/14	1/14	Somewhat confident	10/25	approximately equal to the median accuracy (41-60%)	No	1/25	1/25	234
Somewhat confident	7/14	approximately equal to the median accuracy (41-60%)	Slightly confident	5/13	approximately equal to the median accuracy (41-60%)	No	0/13	3/13	Somewhat confident	12/25	approximately equal to the median accuracy (41-60%)	No	1/25	4/25	235
Moderately confident	10/14	approximately equal to the median accuracy (41-60%)	Moderately confident	10/13	approximately equal to the median accuracy (41-60%)	Yes	3/13	3/13	Moderately confident	17/25	approximately equal to the median accuracy (41-60%)	Yes	4/25	4/25	236
Moderately confident	10/14	approximately equal to the median accuracy (41-60%)	Somewhat confident	7/14	approximately equal to the median accuracy (41-60%)	No	3/14	0/14	Somewhat confident	15/25	approximately equal to the median accuracy (41-60%)	No	3/25	0/25	237
Moderately confident	10/14	higher than most accuracies (61-80%)	Moderately confident	9/13	higher than most accuracies (61-80%)	No	2/13	0/13	Moderately confident	18/25	higher than most accuracies (61-80%)	No	3/25	0/25	238
Extremely confident	14/14	among the highest accuracies (80-100%)	Extremely confident	13/13	among the highest accuracies (80-100%)	No	13/13	13/13	Extremely confident	25/25	among the highest accuracies (80-100%)	No	25/25	25/25	239
Moderately confident	7/14	lower than most accuracies (21-40%)	Moderately confident	11/13	higher than most accuracies (61-80%)	Yes	11/13	11/13	Extremely confident	24/25	among the highest accuracies (80-100%)	Yes	24/25	24/25	240
Extremely confident	11/14	among the highest accuracies (80-100%)	Extremely confident	13/14	among the highest accuracies (80-100%)	Yes	12/14	13/14	Extremely confident	24/25	among the highest accuracies (80-100%)	Yes	24/25	24/25	241
Extremely confident	9/14	higher than most accuracies (61-80%)	Extremely confident	8/14	approximately equal to the median accuracy (41-60%)	Yes	11/14	12/14	Extremely confident	19/25	approximately equal to the median accuracy (41-60%)	No	15/25	20/25	242
Moderately confident	5/14	approximately equal to the median accuracy (41-60%)	Moderately confident	6/13	approximately equal to the median accuracy (41-60%)	Yes	4/13	6/13	Moderately confident	9/25	approximately equal to the median accuracy (41-60%)	Yes	9/25	3/25	243
Slightly confident	9/14	approximately equal to the median accuracy (41-60%)	Slightly confident	9/13	approximately equal to the median accuracy (41-60%)	Yes	12/13	5/13	Slightly confident	15/25	approximately equal to the median accuracy (41-60%)	Yes	24/25	5/25	244
Somewhat confident	9/14	approximately equal to the median accuracy (41-60%)	Somewhat confident	17/25	approximately equal to the median accuracy (41-60%)	No	0/13	0/13	Somewhat confident	17/25	approximately equal to the median accuracy (41-60%)	No	0/25	0/25	245
Slightly confident	7/14	approximately equal to the median accuracy (41-60%)	Somewhat confident	8/13	approximately equal to the median accuracy (41-60%)	Yes	13/13	13/13	Slightly confident	17/25	approximately equal to the median accuracy (41-60%)	Yes	25/25	5/25	246
Moderately confident	9/14	approximately equal to the median accuracy (41-60%)	Moderately confident	11/13	higher than most accuracies (61-80%)	Yes	0/13	0/13	Moderately confident	19/25	approximately equal to the median accuracy (41-60%)	No	0/25	0/25	247
Moderately confident	11/14	higher than most accuracies (61-80%)	Moderately confident	9/13	higher than most accuracies (61-80%)	No	0/13	0/13	Moderately confident	20/25	higher than most accuracies (61-80%)	No	0/25	0/25	248
